Starting Recursive Gentle Aligner...
RecursiveGentle (Depth 0): Aligning 'saturday-night-vocals-only.mp3' (326 w
Core: Sending alignment request for saturday-night-vocals-only.mp3 and dept
---> Found unaligned streak of 6 words to process recursively.
---> Found unaligned streak of 1 words to process recursively.
---> Found unaligned streak of 4 words to process recursively.
---> Found unaligned streak of 17 words to process recursively.
---> Found unaligned streak of 32 words to process recursively.
---> Found unaligned streak of 126 words to process recursively.
---> Found unaligned streak of 2 words to process recursively.
---> Found unaligned streak of 11 words to process recursively.
---> Found unaligned streak of 8 words to process recursively.
---> Found unaligned streak of 9 words to process recursively.
---> Found unaligned streak of 11 words to process recursively.
Finished processing segment. Results (this level): 326 items.

--- Final Recursive Alignment Results ---
  Index 000 | Word: 'It's' | Start: 13.28, End: 13.49
  Index 001 | Word: 'getting' | Start: 13.49, End: 13.54
  Index 002 | Word: 'late' | Start: 13.54, End: 13.57
  Index 003 | Word: 'have' | Start: 14.67, End: 14.88
  Index 004 | Word: 'you' | Start: 15.00, End: 15.03
  Index 005 | Word: 'seen' | Start: 15.03, End: 15.30
  Index 006 | Word: 'my' | Start: 15.30, End: 15.35
  Index 007 | Word: 'mates' | Start: 15.62, End: 15.78
  Index 008 | Word: 'Ma' | Start: 16.47, End: 16.62
  Index 009 | Word: 'tell' | Start: 16.62, End: 16.88
  Index 010 | Word: 'me' | Start: 16.88, End: 17.00
  Index 011 | Word: 'when' | Start: 17.01, End: 17.26
  Index 012 | Word: 'the' | Start: 17.26, End: 17.40
  Index 013 | Word: 'boys' | Status: placeholder_for_recursion_output
  Index 014 | Word: 'get' | Status: placeholder_for_recursion_output
  Index 015 | Word: 'here' | Status: placeholder_for_recursion_output
  Index 016 | Word: 'It's' | Status: placeholder_for_recursion_output
  Index 017 | Word: 'seven' | Status: placeholder_for_recursion_output
  Index 018 | Word: 'o'clock' | Status: placeholder_for_recursion_output
  Index 019 | Word: 'and' | Start: 21.02, End: 21.06
  Index 020 | Word: 'I' | Start: 21.07, End: 21.14
  Index 021 | Word: 'want' | Start: 21.14, End: 21.44
  Index 022 | Word: 'to' | Start: 21.44, End: 21.56
  Index 023 | Word: 'rock' | Start: 21.56, End: 21.73
  Index 024 | Word: 'Want' | Start: 22.36, End: 22.64
  Index 025 | Word: 'to' | Start: 22.64, End: 22.72
  Index 026 | Word: 'get' | Start: 22.72, End: 23.20
  Index 027 | Word: 'a' | Start: 23.20, End: 23.30
  Index 028 | Word: 'belly' | Status: placeholder_for_recursion_output
  Index 029 | Word: 'full' | Start: 23.68, End: 23.89
  Index 030 | Word: 'of' | Start: 23.89, End: 23.91
  Index 031 | Word: 'beer' | Status: placeholder_for_recursion_output
  Index 032 | Word: 'My' | Status: placeholder_for_recursion_output
  Index 033 | Word: 'old' | Status: placeholder_for_recursion_output
  Index 034 | Word: 'man's' | Status: placeholder_for_recursion_output
  Index 035 | Word: 'drunker' | Start: 23.92, End: 24.30
  Index 036 | Word: 'than' | Start: 27.36, End: 27.39
  Index 037 | Word: 'a' | Start: 27.56, End: 27.64
  Index 038 | Word: 'barrel' | Start: 27.64, End: 28.04
  Index 039 | Word: 'full' | Start: 28.04, End: 28.33
  Index 040 | Word: 'of' | Start: 28.33, End: 28.40
  Index 041 | Word: 'monkeys' | Start: 28.41, End: 28.92
  Index 042 | Word: 'And' | Start: 28.92, End: 29.08
  Index 043 | Word: 'my' | Start: 29.08, End: 29.24
  Index 044 | Word: 'old' | Start: 29.24, End: 29.46
